group,name,sel,mock,err,grouplabel,antibody
3C06,replicate-2a,L2-3C06-200ng-ml,L2mock-B,WTplasmid-B,antibody: 3C06,3C06
3C06,replicate-2b,L2-3C06-550ng-ml,L2mock-A,WTplasmid-A,antibody: 3C06,3C06
3C06,replicate-2c,L2-3C06-700ng-ml,L2mock-A,WTplasmid-A,antibody: 3C06,3C06
3C06,replicate-2d,L2-3C06-1ug-ml,L2mock-A,WTplasmid-A,antibody: 3C06,3C06
3C06,replicate-4a,L4-3C06-100ng-ml,L4mock,WT-pHH-plasmid,antibody: 3C06,3C06
3C06,replicate-4b,L4-3C06-250ng-ml,L4mock,WT-pHH-plasmid,antibody: 3C06,3C06
3C04,replicate-2a,L2-3C04-200ng-ml,L2mock-B,WTplasmid-B,antibody: 3C04,3C04
3C04,replicate-2b,L2-3C04-650ng-ml,L2mock-A,WTplasmid-A,antibody: 3C04,3C04
3C04,replicate-2c,L2-3C04-1ug-ml,L2mock-A,WTplasmid-A,antibody: 3C04,3C04
3C04,replicate-4a,L4-3C04-100ng-ml,L4mock,WT-pHH-plasmid,antibody: 3C04,3C04
3C04,replicate-4b,L4-3C04-250ng-ml,L4mock,WT-pHH-plasmid,antibody: 3C04,3C04
